name,year,value,lastvalue,rank
Algeria,1994,73.2444,75.555397,39
Algeria,2008,107.9449,103.6753,36
Algeria,1998,76.147301,74.675697,39
Algeria,1988,65.383904,63.737099,39
Algeria,1989,65.435799,65.383904,42
Algeria,1985,55.773201,52.563702,44
Algeria,2012,131.63451,120.9085,34
Algeria,2007,103.6753,96.291,37
Algeria,1987,63.737099,62.028599,38
Algeria,2010,116.827,116.5058,34
Algeria,1993,75.555397,68.179604,38
Algeria,1982,51.1278,48.891499,43
Algeria,2001,77.151802,80.942703,39
Algeria,1992,68.179604,68.635002,40
Algeria,2003,86.293098,82.855797,38
Algeria,1990,69.599602,65.435799,37
Algeria,1995,74.687798,73.2444,39
Algeria,1999,79.915298,76.147301,37
Algeria,2004,86.974403,86.293098,39
Algeria,1980,50.4179,29.5396,42
Algeria,2006,96.291,91.620003,38
Algeria,1986,62.028599,55.773201,39
Algeria,2000,80.942703,79.915298,37
Algeria,2002,82.855797,77.151802,38
Algeria,2011,120.9085,116.827,34
Algeria,1991,68.635002,69.599602,38
Algeria,2005,91.620003,86.974403,39
Algeria,1981,48.891499,50.4179,43
Algeria,1996,72.780197,74.687798,41
Algeria,1997,74.675697,72.780197,40
Algeria,1983,54.2934,51.1278,42
Algeria,1984,52.563702,54.2934,44
Algeria,2009,116.5058,107.9449,33
Argentina,2009,178.1424,185.8391,28
Argentina,1952,36.101398,34.9692,20
Argentina,1978,95.697403,96.229797,28
Argentina,1959,48.958401,44.202499,23
Argentina,2000,146.02499,146.645,25
Argentina,1965,58.818199,55.685501,26
Argentina,1993,115.3229,113.9208,30
Argentina,1964,55.685501,50.0429,27
Argentina,1983,102.722,99.118103,29
Argentina,1974,90.285698,90.103104,24
Argentina,1972,86.455002,85.535301,24
Argentina,1998,143.3634,139.6335,26
Argentina,1961,51.138401,48.7752,23
Argentina,1996,135.907,126.5423,27
Argentina,1966,60.741798,58.818199,27
Argentina,2007,174.93961,167.9118,28
Argentina,1957,47.617298,44.305099,20
Argentina,1963,50.0429,53.652,27
Argentina,1994,123.4174,115.3229,27
Argentina,1977,96.229797,92.406898,26
Argentina,2004,154.2489,138.71021,26
Argentina,1967,62.687401,60.741798,26
Argentina,1970,79.856903,74.434196,25
Argentina,1984,101.6362,102.722,29
Argentina,1971,85.535301,79.856903,24
Argentina,1956,44.305099,39.567501,19
Argentina,2010,183.1064,178.1424,29
Argentina,1955,39.567501,36.760899,20
Argentina,1980,99.174103,101.0632,30
Argentina,2011,191.0226,183.1064,27
Argentina,1951,34.9692,29.927601,19
